Title,status,difficulty,frequency,tags,link
Vertical Order Traversal of a Binary Tree,ATTEMPTED,HARD,52.4,Hash Table; Tree; Depth-First Search; Breadth-First Search; Sorting; Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/
Diagonal Traverse II,TO_DO,MEDIUM,52.4,Array; Sorting; Heap (Priority Queue),https://leetcode.com/problems/diagonal-traverse-ii/
Zigzag Conversion,TO_DO,MEDIUM,45.6,String,https://leetcode.com/problems/zigzag-conversion/
String to Integer (atoi),SOLVED,MEDIUM,45.6,String,https://leetcode.com/problems/string-to-integer-atoi/
Palindrome Number,SOLVED,EASY,45.6,Math,https://leetcode.com/problems/palindrome-number/
3Sum,TO_DO,MEDIUM,45.6,Array; Two Pointers; Sorting,https://leetcode.com/problems/3sum/
Reverse Nodes in k-Group,TO_DO,HARD,45.6,Linked List; Recursion,https://leetcode.com/problems/reverse-nodes-in-k-group/
Find First and Last Position of Element in Sorted Array,TO_DO,MEDIUM,45.6,Array; Binary Search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Set Matrix Zeroes,TO_DO,MEDIUM,45.6,Array; Hash Table; Matrix,https://leetcode.com/problems/set-matrix-zeroes/
Subsets,SOLVED,MEDIUM,45.6,Array; Backtracking; Bit Manipulation,https://leetcode.com/problems/subsets/
Best Time to Buy and Sell Stock III,TO_DO,HARD,45.6,Array; Dynamic Programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
Linked List Cycle,SOLVED,EASY,45.6,Hash Table; Linked List; Two Pointers,https://leetcode.com/problems/linked-list-cycle/
House Robber II,SOLVED,MEDIUM,45.6,Array; Dynamic Programming,https://leetcode.com/problems/house-robber-ii/
Contains Duplicate II,SOLVED,EASY,45.6,Array; Hash Table; Sliding Window,https://leetcode.com/problems/contains-duplicate-ii/
Strobogrammatic Number,TO_DO,EASY,45.6,Hash Table; Two Pointers; String,https://leetcode.com/problems/strobogrammatic-number/
Move Zeroes,TO_DO,EASY,45.6,Array; Two Pointers,https://leetcode.com/problems/move-zeroes/
Find Median from Data Stream,TO_DO,HARD,45.6,Two Pointers; Design; Sorting; Heap (Priority Queue); Data Stream,https://leetcode.com/problems/find-median-from-data-stream/
Palindromic Substrings,SOLVED,MEDIUM,45.6,Two Pointers; String; Dynamic Programming,https://leetcode.com/problems/palindromic-substrings/
Repeated String Match,TO_DO,MEDIUM,45.6,String; String Matching,https://leetcode.com/problems/repeated-string-match/
Peak Index in a Mountain Array,TO_DO,MEDIUM,45.6,Array; Binary Search,https://leetcode.com/problems/peak-index-in-a-mountain-array/
All Nodes Distance K in Binary Tree,TO_DO,MEDIUM,45.6,Hash Table; Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
Middle of the Linked List,TO_DO,EASY,45.6,Linked List; Two Pointers,https://leetcode.com/problems/middle-of-the-linked-list/
Check Completeness of a Binary Tree,TO_DO,MEDIUM,45.6,Tree; Breadth-First Search; Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/
Average Selling Price,TO_DO,EASY,45.6,Database,https://leetcode.com/problems/average-selling-price/
Check If Two String Arrays are Equivalent,TO_DO,EASY,45.6,Array; String,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/
Maximum Difference by Remapping a Digit,TO_DO,EASY,45.6,Math; Greedy,https://leetcode.com/problems/maximum-difference-by-remapping-a-digit/
Median of Two Sorted Arrays,SOLVED,HARD,36.1,Array; Binary Search; Divide and Conquer,https://leetcode.com/problems/median-of-two-sorted-arrays/
Reverse Integer,ATTEMPTED,MEDIUM,36.1,Math,https://leetcode.com/problems/reverse-integer/
Integer to Roman,TO_DO,MEDIUM,36.1,Hash Table; Math; String,https://leetcode.com/problems/integer-to-roman/
Merge Two Sorted Lists,TO_DO,EASY,36.1,Linked List; Recursion,https://leetcode.com/problems/merge-two-sorted-lists/
Generate Parentheses,SOLVED,MEDIUM,36.1,String; Dynamic Programming; Backtracking,https://leetcode.com/problems/generate-parentheses/
Find the Index of the First Occurrence in a String,TO_DO,EASY,36.1,Two Pointers; String; String Matching,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
Combination Sum II,TO_DO,MEDIUM,36.1,Array; Backtracking,https://leetcode.com/problems/combination-sum-ii/
Wildcard Matching,TO_DO,HARD,36.1,String; Dynamic Programming; Greedy; Recursion,https://leetcode.com/problems/wildcard-matching/
Permutations,TO_DO,MEDIUM,36.1,Array; Backtracking,https://leetcode.com/problems/permutations/
Rotate Image,TO_DO,MEDIUM,36.1,Array; Math; Matrix,https://leetcode.com/problems/rotate-image/
N-Queens,TO_DO,HARD,36.1,Array; Backtracking,https://leetcode.com/problems/n-queens/
Climbing Stairs,SOLVED,EASY,36.1,Math; Dynamic Programming; Memoization,https://leetcode.com/problems/climbing-stairs/
Sort Colors,SOLVED,MEDIUM,36.1,Array; Two Pointers; Sorting,https://leetcode.com/problems/sort-colors/
Combinations,TO_DO,MEDIUM,36.1,Backtracking,https://leetcode.com/problems/combinations/
Reverse Linked List II,TO_DO,MEDIUM,36.1,Linked List,https://leetcode.com/problems/reverse-linked-list-ii/
Binary Tree Level Order Traversal,SOLVED,MEDIUM,36.1,Tree; Breadth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-level-order-traversal/
Minimum Depth of Binary Tree,TO_DO,EASY,36.1,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/
Word Ladder,SOLVED,HARD,36.1,Hash Table; String; Breadth-First Search,https://leetcode.com/problems/word-ladder/
Single Number,TO_DO,EASY,36.1,Array; Bit Manipulation,https://leetcode.com/problems/single-number/
Repeated DNA Sequences,TO_DO,MEDIUM,36.1,Hash Table; String; Bit Manipulation; Sliding Window; Rolling Hash; Hash Function,https://leetcode.com/problems/repeated-dna-sequences/
Reverse Bits,TO_DO,EASY,36.1,Divide and Conquer; Bit Manipulation,https://leetcode.com/problems/reverse-bits/
Sliding Window Maximum,TO_DO,HARD,36.1,Array; Queue; Sliding Window; Heap (Priority Queue); Monotonic Queue,https://leetcode.com/problems/sliding-window-maximum/
Valid Anagram,SOLVED,EASY,36.1,Hash Table; String; Sorting,https://leetcode.com/problems/valid-anagram/
Walls and Gates,TO_DO,MEDIUM,36.1,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/walls-and-gates/
Range Sum Query - Immutable,TO_DO,EASY,36.1,Array; Design; Prefix Sum,https://leetcode.com/problems/range-sum-query-immutable/
Reverse Vowels of a String,TO_DO,EASY,36.1,Two Pointers; String,https://leetcode.com/problems/reverse-vowels-of-a-string/
Design Tic-Tac-Toe,TO_DO,MEDIUM,36.1,Array; Hash Table; Design; Matrix; Simulation,https://leetcode.com/problems/design-tic-tac-toe/
Random Pick Index,ATTEMPTED,MEDIUM,36.1,Hash Table; Math; Reservoir Sampling; Randomized,https://leetcode.com/problems/random-pick-index/
Add Strings,SOLVED,EASY,36.1,Math; String; Simulation,https://leetcode.com/problems/add-strings/
String Compression,TO_DO,MEDIUM,36.1,Two Pointers; String,https://leetcode.com/problems/string-compression/
The Maze,TO_DO,MEDIUM,36.1,Array; Depth-First Search; Breadth-First Search; Matrix,https://leetcode.com/problems/the-maze/
Continuous Subarray Sum,SOLVED,MEDIUM,36.1,Array; Hash Table; Math; Prefix Sum,https://leetcode.com/problems/continuous-subarray-sum/
Design Circular Queue,TO_DO,MEDIUM,36.1,Array; Linked List; Design; Queue,https://leetcode.com/problems/design-circular-queue/
Exchange Seats,TO_DO,MEDIUM,36.1,Database,https://leetcode.com/problems/exchange-seats/
Maximum Width of Binary Tree,TO_DO,MEDIUM,36.1,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/
Binary Search,SOLVED,EASY,36.1,Array; Binary Search,https://leetcode.com/problems/binary-search/
Subarray Product Less Than K,SOLVED,MEDIUM,36.1,Array; Binary Search; Sliding Window; Prefix Sum,https://leetcode.com/problems/subarray-product-less-than-k/
Accounts Merge,TO_DO,MEDIUM,36.1,Array; Hash Table; String; Depth-First Search; Breadth-First Search; Union Find; Sorting,https://leetcode.com/problems/accounts-merge/
Toeplitz Matrix,TO_DO,EASY,36.1,Array; Matrix,https://leetcode.com/problems/toeplitz-matrix/
Goat Latin,SOLVED,EASY,36.1,String,https://leetcode.com/problems/goat-latin/
Koko Eating Bananas,TO_DO,MEDIUM,36.1,Array; Binary Search,https://leetcode.com/problems/koko-eating-bananas/
Sum of Subarray Minimums,TO_DO,MEDIUM,36.1,Array; Dynamic Programming; Stack; Monotonic Stack,https://leetcode.com/problems/sum-of-subarray-minimums/
Number of Recent Calls,TO_DO,EASY,36.1,Design; Queue; Data Stream,https://leetcode.com/problems/number-of-recent-calls/
Shortest Bridge,ATTEMPTED,MEDIUM,36.1,Array; Depth-First Search; Breadth-First Search; Matrix,https://leetcode.com/problems/shortest-bridge/
Rotting Oranges,TO_DO,MEDIUM,36.1,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/rotting-oranges/
Missing Element in Sorted Array,TO_DO,MEDIUM,36.1,Array; Binary Search,https://leetcode.com/problems/missing-element-in-sorted-array/
Car Pooling,SOLVED,MEDIUM,36.1,Array; Sorting; Heap (Priority Queue); Simulation; Prefix Sum,https://leetcode.com/problems/car-pooling/
Longest Common Subsequence,SOLVED,MEDIUM,36.1,String; Dynamic Programming,https://leetcode.com/problems/longest-common-subsequence/
Maximum Level Sum of a Binary Tree,TO_DO,MEDIUM,36.1,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/
Remove All Adjacent Duplicates in String II,SOLVED,MEDIUM,36.1,String; Stack,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/
Maximum Number of Events That Can Be Attended,TO_DO,MEDIUM,36.1,Array; Greedy; Sorting; Heap (Priority Queue),https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/
Product of Two Run-Length Encoded Arrays,TO_DO,MEDIUM,36.1,Array; Two Pointers,https://leetcode.com/problems/product-of-two-run-length-encoded-arrays/
Sum of k-Mirror Numbers,TO_DO,HARD,36.1,Math; Enumeration,https://leetcode.com/problems/sum-of-k-mirror-numbers/
Find Subsequence of Length K With the Largest Sum,TO_DO,EASY,36.1,Array; Hash Table; Sorting; Heap (Priority Queue),https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/
Find All K-Distant Indices in an Array,TO_DO,EASY,36.1,Array; Two Pointers,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/
Count Nodes Equal to Average of Subtree,SOLVED,MEDIUM,36.1,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/
Collect Coins in a Tree,TO_DO,HARD,36.1,Array; Tree; Graph; Topological Sort,https://leetcode.com/problems/collect-coins-in-a-tree/
Minimize the Maximum Difference of Pairs,TO_DO,MEDIUM,36.1,Array; Binary Search; Dynamic Programming; Greedy; Sorting,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/
Find the Peaks,TO_DO,EASY,36.1,Array; Enumeration,https://leetcode.com/problems/find-the-peaks/
Find Missing and Repeated Values,TO_DO,EASY,36.1,Array; Hash Table; Math; Matrix,https://leetcode.com/problems/find-missing-and-repeated-values/
Find the K-th Character in String Game I,SOLVED,EASY,36.1,Math; Bit Manipulation; Recursion; Simulation,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/
Maximum Manhattan Distance After K Changes,TO_DO,MEDIUM,36.1,Hash Table; Math; String; Counting,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/
