Title,status,difficulty,frequency,tags,link
Maximum Product Subarray,SOLVED,MEDIUM,45,Array; Dynamic Programming,https://leetcode.com/problems/maximum-product-subarray/
Lowest Common Ancestor of a Binary Tree,SOLVED,MEDIUM,45,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
Verify Preorder Sequence in Binary Search Tree,TO_DO,MEDIUM,45,Array; Stack; Tree; Binary Search Tree; Recursion; Monotonic Stack; Binary Tree,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/
Graph Valid Tree,TO_DO,MEDIUM,45,Depth-First Search; Breadth-First Search; Union Find; Graph,https://leetcode.com/problems/graph-valid-tree/
Find Median from Data Stream,SOLVED,HARD,45,Two Pointers; Design; Sorting; Heap (Priority Queue); Data Stream,https://leetcode.com/problems/find-median-from-data-stream/
Range Addition,TO_DO,MEDIUM,45,Array; Prefix Sum,https://leetcode.com/problems/range-addition/
Kth Smallest Element in a Sorted Matrix,SOLVED,MEDIUM,45,Array; Binary Search; Sorting; Heap (Priority Queue); Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
Design In-Memory File System,SOLVED,HARD,45,Hash Table; String; Design; Trie; Sorting,https://leetcode.com/problems/design-in-memory-file-system/
Top K Frequent Words,TO_DO,MEDIUM,45,Array; Hash Table; String; Trie; Sorting; Heap (Priority Queue); Bucket Sort; Counting,https://leetcode.com/problems/top-k-frequent-words/
Max Area of Island,TO_DO,MEDIUM,45,Array; Depth-First Search; Breadth-First Search; Union Find; Matrix,https://leetcode.com/problems/max-area-of-island/
Daily Temperatures,TO_DO,MEDIUM,45,Array; Stack; Monotonic Stack,https://leetcode.com/problems/daily-temperatures/
Smallest Subtree with all the Deepest Nodes,SOLVED,MEDIUM,45,Hash Table; Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/
Maximum Frequency Stack,TO_DO,HARD,45,Hash Table; Stack; Design; Ordered Set,https://leetcode.com/problems/maximum-frequency-stack/
Rotting Oranges,TO_DO,MEDIUM,45,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/rotting-oranges/
Height Checker,TO_DO,EASY,45,Array; Sorting; Counting Sort,https://leetcode.com/problems/height-checker/
Magnetic Force Between Two Balls,TO_DO,MEDIUM,45,Array; Binary Search; Sorting,https://leetcode.com/problems/magnetic-force-between-two-balls/
Construct the Lexicographically Largest Valid Sequence,TO_DO,MEDIUM,45,Array; Backtracking,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/
Median of Two Sorted Arrays,SOLVED,HARD,36,Array; Binary Search; Divide and Conquer,https://leetcode.com/problems/median-of-two-sorted-arrays/
Zigzag Conversion,TO_DO,MEDIUM,36,String,https://leetcode.com/problems/zigzag-conversion/
Letter Combinations of a Phone Number,SOLVED,MEDIUM,36,Hash Table; String; Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Merge k Sorted Lists,SOLVED,HARD,36,Linked List; Divide and Conquer; Heap (Priority Queue); Merge Sort,https://leetcode.com/problems/merge-k-sorted-lists/
Longest Valid Parentheses,TO_DO,HARD,36,String; Dynamic Programming; Stack,https://leetcode.com/problems/longest-valid-parentheses/
Find First and Last Position of Element in Sorted Array,TO_DO,MEDIUM,36,Array; Binary Search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Rotate Image,TO_DO,MEDIUM,36,Array; Math; Matrix,https://leetcode.com/problems/rotate-image/
N-Queens,TO_DO,HARD,36,Array; Backtracking,https://leetcode.com/problems/n-queens/
Maximum Subarray,SOLVED,MEDIUM,36,Array; Divide and Conquer; Dynamic Programming,https://leetcode.com/problems/maximum-subarray/
Minimum Path Sum,TO_DO,MEDIUM,36,Array; Dynamic Programming; Matrix,https://leetcode.com/problems/minimum-path-sum/
Sort Colors,SOLVED,MEDIUM,36,Array; Two Pointers; Sorting,https://leetcode.com/problems/sort-colors/
Flatten Binary Tree to Linked List,TO_DO,MEDIUM,36,Linked List; Stack; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
Triangle,TO_DO,MEDIUM,36,Array; Dynamic Programming,https://leetcode.com/problems/triangle/
